X merges:
0,0,1,0.0625,7,18
1,0,1,0.0625,7,18
1,1,1,0.0625,7,18
2,0,1,0.0625,7,18
2,1,1,0.0625,7,18
2,2,1,0.0625,7,18
3,0,1,0.0625,7,18
3,1,1,0.0625,7,18
3,2,1,0.0625,7,18
3,3,1,0.0625,7,18
4,0,1,0.0625,7,18
4,1,1,0.0625,7,18
4,2,1,0.0625,7,18
4,3,1,0.0625,7,18
4,4,1,0.0625,7,18
5,0,1,0.0625,7,18
5,1,1,0.0625,7,18
5,2,1,0.0625,7,18
5,3,1,0.0625,7,18
5,4,1,0.0625,7,18
5,5,1,0.0625,7,18
6,6,1,0.0625,7,18
7,6,1,0.0625,7,18
7,7,1,0.0625,7,18
8,6,1,0.0625,7,18
8,7,1,0.0625,7,18
8,8,1,0.0625,7,18
9,6,1,0.0625,7,18
9,7,1,0.0625,7,18
9,8,1,0.0625,7,18
9,9,1,0.0625,7,18
10,6,1,0.0625,7,18
10,7,1,0.0625,7,18
10,8,1,0.0625,7,18
10,9,1,0.0625,7,18
10,10,1,0.0625,7,18
11,6,1,0.0625,7,18
11,7,1,0.0625,7,18
11,8,1,0.0625,7,18
11,9,1,0.0625,7,18
11,10,1,0.0625,7,18
11,11,1,0.0625,7,18
