Z merges:
23,0,2,99,1.1521739130434783,9
23,1,2,96,1.0869565217391304,9
24,0,3,156,2.25,9
24,1,1,69,0.4375,9
24,2,1,72,0.5,9
24,3,1,70,0.4583333333333333,9
24,4,2,100,1.0833333333333333,9
24,5,1,67,0.3958333333333333,9
63,0,1,189,0.5,11
63,1,1,186,0.47619047619047616,11
63,2,1,188,0.49206349206349204,11
63,3,1,187,0.48412698412698413,11
63,4,1,188,0.49206349206349204,11
63,5,1,188,0.49206349206349204,11
63,6,1,186,0.47619047619047616,11
90,0,2,349,0.9388888888888889,9
90,1,1,249,0.38333333333333336,9
90,2,2,341,0.8944444444444445,9
90,3,2,375,1.0833333333333333,9
90,4,2,354,0.9666666666666667,9
90,5,2,360,1.0,9
90,6,1,246,0.36666666666666664,9
127,0,1,364,0.4330708661417323,11
127,1,1,379,0.4921259842519685,11
127,2,1,372,0.4645669291338583,11
127,3,1,373,0.468503937007874,11
127,4,1,372,0.4645669291338583,11
127,5,1,373,0.468503937007874,11
127,6,1,376,0.48031496062992124,11
