X merges:
23,0,2,104,1.2608695652173914,9
23,1,1,66,0.43478260869565216,9
24,0,2,96,1.0,9
24,1,2,96,1.0,9
24,2,2,96,1.0,9
24,3,1,67,0.3958333333333333,9
24,4,1,64,0.3333333333333333,9
24,5,2,90,0.875,9
63,0,1,185,0.46825396825396826,11
63,1,1,185,0.46825396825396826,11
63,2,1,189,0.5,11
63,3,1,188,0.49206349206349204,11
63,4,2,284,1.253968253968254,11
63,5,1,185,0.46825396825396826,11
63,6,2,284,1.253968253968254,11
90,0,1,257,0.42777777777777776,9
90,1,2,382,1.1222222222222222,9
90,2,1,255,0.4166666666666667,9
90,3,2,349,0.9388888888888889,9
90,4,2,391,1.1722222222222223,9
90,5,2,328,0.8222222222222222,9
90,6,1,236,0.3111111111111111,9
127,0,1,372,0.4645669291338583,11
127,1,1,376,0.48031496062992124,11
127,2,1,378,0.4881889763779528,11
127,3,1,376,0.48031496062992124,11
127,4,1,368,0.44881889763779526,11
127,5,1,375,0.4763779527559055,11
127,6,1,374,0.47244094488188976,11
